ID,Temperature,Treatment,Clone,Experiment,Growth2,maxInduction,Growth1
C14_24_P1,24,Predator,C14,Acute,0.100458996,NA,0.127159843
D10A14_24_C1,24,Control,D10_A14,Acute,0.110556518,10,0.131741504
AD10_1_28_C2_A,28,Control,AD10_1,Acclim,0.077122426,0,0.09898374
D10_A14_28_P3_A,28,Predator,D10_A14,Acclim,0.092786486,0,0.139863839
D10A14_28_C2,28,Control,D10_A14,Acute,0.095710989,10,0.111636448
D86A_12_P1,13,Predator,D86_A,Acute,NA,10,NA
D86A_12_P2,13,Predator,D86_A,Acute,NA,10,0.102366433
D86A_12_P3,13,Predator,D86_A,Acute,0.074359389,10,0.100017222
Cyril_12_P1_A,13,Predator,Cyril,Acclim,0.105334052,40,0.10386942
Cyril_12_P2_A,13,Predator,Cyril,Acclim,0.100382773,10,0.102133017
Cyril_12_P3_A,13,Predator,Cyril,Acclim,0.102138892,40,0.102467299
D1045_16_P2,16,Predator,D10_45,Acute,0.097701122,50,0.097247428
C14_16_C1,16,Control,C14,Acute,0.07784366,20,0.095080226
C14_16_C2,16,Control,C14,Acute,0.076339144,20,0.090942721
LD33_16_C2_A,16,Control,LD33,Acclim,0.088049929,20,0.111305297
D87A_16_C1_A,16,Control,D87_A,Acclim,0.087007789,0,0.084105028
D87A_16_C2_A,16,Control,D87_A,Acclim,0.085521399,0,0.085521399
D87A_16_C3_A,16,Control,D87_A,Acclim,0.084587437,0,0.083174984
D1045_16_C1_A,16,Control,D10_45,Acclim,0.075261268,10,0.104248533
D1045_16_C2_A,16,Control,D10_45,Acclim,0.072820065,20,0.101624869
D1045_16_C3_A,16,Control,D10_45,Acclim,0.075505711,10,0.106720167
D1081_16_C2,16,Control,D10_81,Acute,0.11882094,10,0.114947489
D1081_16_C3,16,Control,D10_81,Acute,0.111656609,10,0.111346531
D10A13_16_C3,16,Control,D10_A13,Acute,0.072106702,30,0.093970268
Cyril_16_P2,16,Predator,Cyril,Acute,0.094535486,10,0.112874938
Cyril_16_P3,16,Predator,Cyril,Acute,0.095069216,0,0.116760516
D10A13_16_P3,16,Predator,D10_A13,Acute,0.125371174,20,0.122910016
D1081_16_P3,16,Predator,D10_81,Acute,0.094553328,10,0.11735136
Cyril_16_P1_A,16,Predator,Cyril,Acclim,0.103158553,10,0.107802837
C14_16_C3_A,16,Control,C14,Acclim,0.099291399,30,0.097633486
LD33_16_P1_A,16,Predator,LD33,Acclim,0.104169997,90,0.102236235
D10A14_16_P2_A,16,Predator,D10_A14,Acclim,0.10107913,30,0.100045911
D10A14_16_P3_A,16,Predator,D10_A14,Acclim,0.104951951,60,0.104800779
D10A14_16_P1_A,16,Predator,D10_A14,Acclim,0.100184742,20,0.099884441
D10A14_20_P3,20,Predator,D10_A14,Acute,0.101185988,10,0.112166203
D1081_20_P2_A,20,Predator,D10_81,Acclim,0.084929108,10,0.093681046
D10A13_24_P2,24,Predator,D10_A14,Acute,NA,0,NA
D10_A14_28_P2_A,28,Predator,D10_A14,Acclim,0.075784952,0,0.095416101
D1081_12_C3,13,Control,D10_81,Acute,0.088531896,10,0.090061959
D86A_12_C1,13,Control,D86_A,Acute,0.10505582,0,0.103985389
D86A_12_C2,13,Control,D86_A,Acute,0.097161558,10,0.09541478
D86A_12_C3,13,Control,D86_A,Acute,0.100496512,10,0.098947768
D10A14_12_C2,13,Control,D10_A14,Acute,0.084499812,10,0.091601428
D10A14_12_C3,13,Control,D10_A14,Acute,0.089320423,10,0.097043761
D1045_12_C1_A,13,Control,D10_45,Acclim,0.090970432,10,0.091103049
D1045_12_C2_A,13,Control,D10_45,Acclim,0.093769631,20,0.092669356
D1045_12_C3_A,13,Control,D10_45,Acclim,0.084913741,10,0.084651377
Cyril_12_C1_A,13,Control,Cyril,Acclim,0.089588916,0,0.092432395
Cyril_12_C2_A,13,Control,Cyril,Acclim,0.090486849,0,0.090638999
Cyril_12_C3_A,13,Control,Cyril,Acclim,0.089608677,0,0.090499949
D10A13_12_C2_A,13,Control,D10_A13,Acclim,0.085050228,20,0.083350943
D1081_12_P1_A,13,Predator,D10_81,Acclim,0.083058975,60,0.082939121
D1081_12_P2_A,13,Predator,D10_81,Acclim,0.084217314,60,0.083225117
D1081_12_P3_A,13,Predator,D10_81,Acclim,0.08529724,60,0.084317078
C14_12_P3_A,13,Predator,C14,Acclim,0.073279524,100,0.072800424
AD10_1_16_P1,16,Predator,AD10_1,Acute,0.100351372,50,0.098209703
D10A13_16_C1,16,Control,D10_A13,Acute,0.108262506,20,0.104116096
D10A13_16_P2,16,Predator,D10_A13,Acute,0.115424539,60,0.111689991
D10A14_16_C2,16,Control,D10_A14,Acute,0.099557167,10,0.10485705
D10A14_16_P2,16,Predator,D10_A14,Acute,0.089308553,40,0.118194202
D1081_20_C3,20,Control,D10_81,Acute,0.081430681,10,0.096127456
D10A13_24_P3,24,Predator,D10_A14,Acute,NA,30,NA
LD33_28_P2,28,Predator,LD33,Acute,0.083920551,20,0.095178078
LD33_12_C1,13,Control,LD33,Acute,0.080160654,20,0.083607808
LD33_12_C2,13,Control,LD33,Acute,0.080438243,60,0.081079917
LD33_12_C3,13,Control,LD33,Acute,0.081732333,60,0.082793016
D1081_12_C1,13,Control,D10_81,Acute,0.086576204,10,0.088927089
D1081_12_C2,13,Control,D10_81,Acute,0.085421672,10,0.087132889
C14_12_C1,13,Control,C14,Acute,0.064794548,30,0.083783855
D10A13_12_P1,13,Predator,D10_A13,Acute,NA,10,NA
D10A13_12_P2,13,Predator,D10_A13,Acute,0.079179834,20,0.078327312
D10A13_12_P3,13,Predator,D10_A13,Acute,0.075543258,20,0.075215389
D1081_12_C1_A,13,Control,D10_81,Acclim,0.078556962,10,0.096458689
D1081_12_C2_A,13,Control,D10_81,Acclim,0.081887039,10,0.099190319
D10A13_12_P1_A,13,Predator,D10_A13,Acclim,0.073536083,50,0.074173841
D10A13_12_P3_A,13,Predator,D10_A13,Acclim,0.073355409,70,0.07324864
D86A_12_C1_A,13,Control,D86_A,Acclim,0.066799114,10,0.068298577
AD10_1_16_P3,16,Predator,AD10_1,Acute,0.096992815,10,0.09598178
D10A14_16_C1,16,Control,D10_A14,Acute,0.101615614,10,0.109383016
LD33_28_P1,28,Predator,LD33,Acute,0.07490718,60,0.086757566
LD33_12_P1,13,Predator,LD33,Acute,0.074725381,100,0.07505458
LD33_12_P2,13,Predator,LD33,Acute,0.073925847,70,0.075488948
LD33_12_P3,13,Predator,LD33,Acute,0.079548989,100,0.081260708
D87A_12_C1,13,Control,D87_A,Acute,0.063229371,0,0.063681122
D87A_12_C3,13,Control,D87_A,Acute,0.067857585,0,0.066197718
D1045_12_C2,13,Control,D10_45,Acute,0.070317046,50,0.068406176
D1045_12_C3,13,Control,D10_45,Acute,0.067979154,10,0.066756805
D1045_12_P1,13,Predator,D10_45,Acute,0.076700617,10,0.075991657
D1045_12_P3,13,Predator,D10_45,Acute,0.080384986,40,0.077775013
AD101_12_C1,13,Control,AD10_1,Acute,0.066169328,0,0.090665769
Cyril_12_P3,13,Predator,Cyril,Acute,0.060484282,40,0.076243534
Cyril_12_P3,13,Predator,Cyril,Acute,0.060484282,40,0.076243534
C14_12_P1,13,Predator,C14,Acute,0.081719946,70,0.082317642
AD101_12_P1,13,Predator,AD10_1,Acute,0.062465532,10,0.084508638
C14_12_C2,13,Control,C14,Acute,0.055818359,30,0.069700964
C14_12_C3,13,Control,C14,Acute,0.062022295,20,0.078613407
D10A14_12_P1,13,Predator,D10_A14,Acute,0.072729356,10,0.09395152
D10A14_12_P2,13,Predator,D10_A14,Acute,0.076435515,40,0.094480621
D87A_12_P2_A,13,Predator,D87_A,Acclim,0.074420202,10,0.075596419
D87A_12_P3_A,13,Predator,D87_A,Acclim,0.074798067,10,0.07604703
D1045_12_P1_A,13,Predator,D10_45,Acclim,0.078775326,60,0.079522676
D1045_12_P2_A,13,Predator,D10_45,Acclim,0.074980216,70,0.075193891
C14_12_P1_A,13,Predator,C14,Acclim,0.066965241,100,0.066554435
C14_12_P2_A,13,Predator,C14,Acclim,0.06757448,100,0.068608408
D87A_16_C3,16,Control,D87_A,Acute,0.07128367,0,0.073491952
D1045_16_P3_A,16,Predator,D10_45,Acclim,0.086917893,60,0.087598632
LD33_28_C2,28,Control,LD33,Acute,0.062641804,30,0.081857908
LD33_28_C3,28,Control,LD33,Acute,0.064694913,10,0.085254622
D10A13_12_C1,13,Control,D10_A13,Acute,NA,10,NA
D10A13_12_C3,13,Control,D10_A13,Acute,NA,10,NA
D1081_12_P1,13,Predator,D10_81,Acute,0.089728951,20,0.085892938
AD101_12_C2,13,Control,AD10_1,Acute,0.050900695,0,0.074802426
AD101_12_C3,13,Control,AD10_1,Acute,0.051509204,10,0.073891983
C14_12_P2,13,Predator,C14,Acute,0.075849734,90,0.075070303
AD101_12_P2,13,Predator,AD10_1,Acute,0.056917663,20,0.077086009
AD101_12_P3,13,Predator,AD10_1,Acute,0.063703476,20,0.083765733
D10A14_12_C1,13,Control,D10_A14,Acute,NA,10,0.083517285
D10A14_12_P3,13,Predator,D10_A14,Acute,NA,60,0.080105879
D87A_12_P1_A,13,Predator,D87_A,Acclim,0.06916765,10,0.069276784
D10A13_12_C1_A,13,Control,D10_A13,Acclim,0.070084379,10,0.069483293
D10A13_12_C3_A,13,Control,D10_A13,Acclim,0.070950297,20,0.069748105
C14_12_C1_A,13,Control,C14,Acclim,0.062431513,50,0.062025091
D10A14_12_C1_A,13,Control,D10_A14,Acclim,0.064961769,20,0.063709449
D10A14_12_C2_A,13,Control,D10_A14,Acclim,0.065310891,20,0.062501813
D10A14_12_C3_A,13,Control,D10_A14,Acclim,0.064553304,10,0.060599726
D10A13_12_P2_A,13,Predator,D10_A13,Acclim,0.068504611,70,0.069428667
LD33_12_C3_A,13,Control,LD33,Acclim,0.062877454,20,0.061904151
D1045_12_P2,13,Predator,D10_45,Acute,0.074843444,40,0.073540442
Cyril_12_C1,13,Control,Cyril,Acute,0.06893577,0,0.066955426
Cyril_12_C2,13,Control,Cyril,Acute,0.069100539,0,0.068671813
Cyril_12_P1,13,Predator,Cyril,Acute,0.052108923,40,0.067050809
Cyril_12_P3,13,Predator,Cyril,Acute,0.060484282,40,0.076243534
Cyril_12_P3,13,Predator,Cyril,Acute,0.060484282,40,0.076243534
LD33_12_C1_A,13,Control,LD33,Acclim,0.059028272,20,0.058222623
LD33_12_C2_A,13,Control,LD33,Acclim,0.057948694,10,0.059153546
D86A_12_P2_A,13,Predator,D86_A,Acclim,0.064462757,0,0.063263186
D86A_12_P3_A,13,Predator,D86_A,Acclim,0.061998056,10,0.062274109
D10A14_12_P1_A,13,Predator,D10_A14,Acclim,0.062277668,90,0.061033188
D10A14_12_P2_A,13,Predator,D10_A14,Acclim,0.063089538,60,0.062154507
D10A14_12_P3_A,13,Predator,D10_A14,Acclim,0.06491893,50,0.063921857
D10A13_20_C2,20,Control,D10_A13,Acute,0.053466392,60,0.066216785
D87A_12_C2,13,Control,D87_A,Acute,0.062374692,0,0.05891421
D87A_12_P3,13,Predator,D87_A,Acute,0.050644596,30,0.049339552
D86A_12_C2_A,13,Control,D86_A,Acclim,0.054191643,10,0.056877433
D86A_12_C3_A,13,Control,D86_A,Acclim,0.051035574,10,0.053044832
D87A_12_P1,13,Predator,D87_A,Acute,0.04532152,30,0.042484606
C14_12_P3,13,Predator,C14,Acute,0.067730564,90,0.067077481
D10A13_12_C2,13,Control,D10_A13,Acute,0.073678136,10,0.070552922
D1045_12_C1,13,Control,D10_45,Acute,0.061024551,10,0.058343885
D87A_12_P2,13,Predator,D87_A,Acute,0.037245207,40,0.035299732
C14_12_C2_A,13,Control,C14,Acclim,0.048140496,30,0.046929777
C14_12_C3_A,13,Control,C14,Acclim,0.047295195,40,0.047566916
AD10_1_16_P2,16,Predator,AD10_1,Acute,NA,50,NA
AD10_1_24_C3,24,Control,AD10_1,Acute,NA,10,NA
AD10_1_24_P1_A,24,Predator,AD10_1,Acclim,NA,0,NA
AD10_1_28_C1,28,Control,AD10_1,Acute,NA,10,NA
AD10_1_28_C3,28,Control,AD10_1,Acute,NA,10,NA
AD10_1_28_P1_A,28,Predator,AD10_1,Acclim,NA,10,NA
AD101_16_C1_A,16,Control,AD10_1,Acclim,NA,20,NA
AD101_16_P3_A,16,Predator,AD10_1,Acclim,NA,40,NA
AD101_20_C2_A,20,Control,AD10_1,Acclim,NA,10,NA
AD101_28_P1_A,28,Predator,AD10_1,Acclim,NA,10,NA
C14_16_C1_A,16,Control,C14,Acclim,NA,20,NA
C14_16_C2_A,16,Control,C14,Acclim,NA,30,NA
C14_16_P1_A,16,Predator,C14,Acclim,NA,100,NA
C14_20_C1,20,Control,C14,Acute,NA,20,NA
C14_20_C3,20,Control,C14,Acute,NA,20,NA
C14_20_P2,20,Predator,C14,Acute,NA,70,NA
C14_20_P3_A,20,Predator,C14,Acclim,NA,70,NA
C14_24_C3_A,24,Control,C14,Acclim,NA,40,NA
C14_24_P2_A,24,Predator,C14,Acclim,NA,60,NA
C14_28_C1_A2,28,Control,C14,Acclim,NA,20,NA
C14_28_C2_A2,28,Control,C14,Acclim,NA,10,NA
C14_28_C3,28,Control,C14,Acute,NA,20,NA
C14_28_C3_A,28,Control,C14,Acclim,NA,0,NA
C14_28_C3_A2,28,Control,C14,Acclim,NA,10,NA
C14_28_P1_A2,28,Predator,C14,Acclim,NA,30,NA
C14_28_P3,28,Predator,C14,Acute,NA,NA,NA
Cyril_12_C3,13,Control,Cyril,Acute,NA,0,NA
Cyril_12_P2,13,Predator,Cyril,Acute,NA,40,NA
Cyril_28_C3,28,Control,Cyril,Acute,NA,0,NA
Cyril_28_P1_A,28,Predator,Cyril,Acclim,NA,0,NA
Cyril_28_P2_A,28,Predator,Cyril,Acclim,NA,0,NA
Cyril_28_P3_A,28,Predator,Cyril,Acclim,NA,0,NA
D10_A14_20_P1,20,Predator,D10_A14,Acute,NA,40,NA
D10_A14_20_P2,20,Predator,D10_A14,Acute,NA,40,NA
D10_A14_20_P3,20,Predator,D10_A14,Acute,NA,40,NA
D10_A14_24_P1,24,Predator,D10_A14,Acute,NA,NA,NA
D10_A14_28_P1_A,28,Predator,D10_A14,Acclim,NA,0,NA
D1045_12_P3_A,13,Predator,D10_45,Acclim,NA,10,NA
D1045_16_P1,16,Predator,D10_45,Acute,NA,40,NA
D1045_20_C3,20,Control,D10_45,Acute,NA,10,NA
D1045_20_P3,20,Predator,D10_45,Acute,NA,30,NA
D1045_24_C3_A,24,Control,D10_45,Acclim,NA,10,NA
D1045_24_P1_A,24,Predator,D10_45,Acclim,NA,NA,NA
D1045_28_C1,28,Control,D10_45,Acute,NA,10,NA
D1045_28_C1_A,28,Control,D10_45,Acclim,NA,0,NA
D1045_28_C1_A2,28,Control,D10_45,Acclim,NA,0,NA
D1045_28_C1_A2,28,Predator,D10_45,Acclim,NA,10,NA
D1045_28_C3,28,Control,D10_45,Acute,NA,10,NA
D1045_28_P1,28,Predator,D10_45,Acute,NA,10,NA
D1045_28_P2,28,Predator,D10_45,Acute,NA,10,NA
D1045_28_P2_A2,28,Predator,D10_45,Acclim,NA,10,NA
D1045_28_P3_A2,28,Predator,D10_45,Acclim,NA,10,NA
D1081_12_P2,13,Predator,D10_81,Acute,NA,20,NA
D1081_16_P1,16,Control,D10_81,Acute,NA,10,NA
D1081_16_P1_A,16,Predator,D10_81,Acute,NA,0,NA
D1081_16_P2_A,16,Predator,D10_81,Acute,NA,0,NA
D1081_20_P3,20,Predator,D10_81,Acute,NA,0,NA
D1081_28_C1,28,Control,D10_81,Acute,NA,10,NA
D1081_28_C2,28,Control,D10_81,Acute,NA,10,NA
D1081_28_C3,28,Control,D10_81,Acute,NA,10,NA
D10A13_16_C2,16,Control,D10_A13,Acute,NA,10,NA
D10A13_16_C2_A,16,Control,D10_A13,Acclim,NA,10,NA
D10A13_20_C3,20,Control,D10_A13,Acute,NA,30,NA
D10A13_24_C1,24,Control,D10_A13,Acute,NA,0,NA
D10A13_24_C2,24,Control,D10_A13,Acute,NA,70,NA
D10A13_24_C3,24,Control,D10_A13,Acute,NA,70,NA
D10A13_24_C3_A,24,Control,D10_A13,Acclim,NA,0,NA
D10A13_24_P1,24,Predator,D10_A14,Acute,NA,0,NA
D10A13_28_C1,28,Control,D10_A13,Acute,NA,0,NA
D10A13_28_C2,28,Control,D10_A13,Acute,NA,0,NA
D10A13_28_C3,28,Control,D10_A13,Acute,NA,0,NA
D10A13_28_P1,28,Predator,D10_A13,Acute,NA,20,NA
D10A13_28_P2,28,Predator,D10_A13,Acute,NA,0,NA
D10A13_28_P3,28,Predator,D10_A13,Acute,NA,10,NA
D10A14_16_P1,16,Predator,D10_A14,Acute,NA,40,NA
D10A14_20_P3_A,20,Predator,D10_A14,Acclim,NA,80,NA
D10A14_24_C3_A,24,Control,D10_A14,Acclim,NA,10,NA
D10A14_28_C1,28,Control,D10_A14,Acute,NA,10,NA
D10A14_28_C3,28,Control,D10_A14,Acute,NA,10,NA
D10A14_28_P3,28,Predator,D10_A14,Acute,NA,0,NA
D86A_12_P1_A,13,Predator,D86_A,Acclim,NA,10,NA
D86A_16_P1_A,16,Predator,D86_A,Acclim,NA,10,NA
D86A_24_C1,24,Control,D86_A,Acute,NA,20,NA
D86A_24_C1_A,24,Control,D86_A,Acclim,NA,30,NA
D86A_24_C2,24,Control,D86_A,Acute,NA,0,NA
D86A_24_P1_A,24,Predator,D86_A,Acclim,NA,0,NA
D86A_24_P2,24,Predator,D86_A,Acute,NA,0,NA
D86A_28_C1,28,Control,D86_A,Acute,NA,10,NA
D86A_28_C2_A,28,Control,D86_A,Acclim,NA,40,NA
D87A_12_C1_A,13,Control,D87_A,Acclim,NA,10,NA
D87A_12_C2_A,13,Control,D87_A,Acclim,NA,10,NA
D87A_12_C3_A,13,Control,D87_A,Acclim,NA,10,NA
D87A_16_P2,16,Predator,D87_A,Acute,NA,40,NA
D87A_16_P3_A,16,Predator,D87_A,Acclim,NA,10,NA
D87A_28_P1_A,28,Predator,D87_A,Acclim,NA,10,NA
D87A_28_P2_A,28,Predator,D87_A,Acclim,NA,10,NA
D87A_28_P3,28,Predator,D87_A,Acute,NA,NA,NA
LD33_12_P1,13,Predator,LD33,Acclim,NA,100,NA
LD33_12_P2,13,Predator,LD33,Acclim,NA,100,NA
LD33_12_P3,13,Predator,LD33,Acclim,NA,100,NA
LD33_16_C3_A,16,Predator,LD33,Acclim,NA,0,NA
LD33_16_P3_A,16,Predator,LD33,Acclim,NA,90,NA
LD33_28_C1,28,Control,LD33,Acute,NA,10,NA
LD33_28_P3,28,Predator,LD33,Acute,NA,10,NA
