ID,Temperature,Treatment,Clone,Experiment,Growth,maxInduction
D1081_12_C1_A,13,Control,D10_81,Acclim,0.096458689,10
D1081_12_C2_A,13,Control,D10_81,Acclim,0.099190319,10
D10A13_12_P1_A,13,Predator,D10_A13,Acclim,0.074173841,50
D10A13_12_P3_A,13,Predator,D10_A13,Acclim,0.07324864,70
D86A_12_C1_A,13,Control,D86_A,Acclim,0.068298577,10
AD10_1_16_P3,16,Predator,AD10_1,Acute,0.09598178,10
D10A14_16_C1,16,Control,D10_A14,Acute,0.109383016,10
LD33_28_P1,28,Predator,LD33,Acute,0.086757566,60
LD33_12_P1,13,Predator,LD33,Acute,0.07505458,100
LD33_12_P2,13,Predator,LD33,Acute,0.075488948,70
LD33_12_P3,13,Predator,LD33,Acute,0.081260708,100
D87A_12_C1,13,Control,D87_A,Acute,0.063681122,0
D87A_12_C3,13,Control,D87_A,Acute,0.066197718,0
D1045_12_C2,13,Control,D10_45,Acute,0.068406176,50
D1045_12_C3,13,Control,D10_45,Acute,0.066756805,10
D1045_12_P1,13,Predator,D10_45,Acute,0.075991657,10
D1045_12_P3,13,Predator,D10_45,Acute,0.077775013,40
AD101_12_C1,13,Control,AD10_1,Acute,0.090665769,0
Cyril_12_P3,13,Predator,Cyril,Acute,0.076243534,40
C14_12_P1,13,Predator,C14,Acute,0.082317642,70
AD101_12_P1,13,Predator,AD10_1,Acute,0.084508638,10
C14_12_C2,13,Control,C14,Acute,0.069700964,30
C14_12_C3,13,Control,C14,Acute,0.078613407,20
D10A14_12_P1,13,Predator,D10_A14,Acute,0.09395152,10
D10A14_12_P2,13,Predator,D10_A14,Acute,0.094480621,40
D87A_12_P2_A,13,Predator,D87_A,Acclim,0.075596419,10
D87A_12_P3_A,13,Predator,D87_A,Acclim,0.07604703,10
D1045_12_P1_A,13,Predator,D10_45,Acclim,0.079522676,60
D1045_12_P2_A,13,Predator,D10_45,Acclim,0.075193891,70
C14_12_P1_A,13,Predator,C14,Acclim,0.066554435,100
C14_12_P2_A,13,Predator,C14,Acclim,0.068608408,100
D87A_16_C3,16,Control,D87_A,Acute,0.073491952,0
D1045_16_P3_A,16,Predator,D10_45,Acclim,0.087598632,60
LD33_28_C2,28,Control,LD33,Acute,0.081857908,30
LD33_28_C3,28,Control,LD33,Acute,0.085254622,10
D10A13_12_C1,13,Control,D10_A13,Acute,NA,10
D10A13_12_C3,13,Control,D10_A13,Acute,NA,10
D1081_12_P1,13,Predator,D10_81,Acute,0.085892938,20
AD101_12_C2,13,Control,AD10_1,Acute,0.074802426,0
AD101_12_C3,13,Control,AD10_1,Acute,0.073891983,10
C14_12_P2,13,Predator,C14,Acute,0.075070303,90
AD101_12_P2,13,Predator,AD10_1,Acute,0.077086009,20
AD101_12_P3,13,Predator,AD10_1,Acute,0.083765733,20
D10A14_12_C1,13,Control,D10_A14,Acute,0.083517285,10
D10A14_12_P3,13,Predator,D10_A14,Acute,0.080105879,60
D87A_12_P1_A,13,Predator,D87_A,Acclim,0.069276784,10
D10A13_12_C1_A,13,Control,D10_A13,Acclim,0.069483293,10
D10A13_12_C3_A,13,Control,D10_A13,Acclim,0.069748105,20
C14_12_C1_A,13,Control,C14,Acclim,0.062025091,50
D10A14_12_C1_A,13,Control,D10_A14,Acclim,0.063709449,20
D10A14_12_C2_A,13,Control,D10_A14,Acclim,0.062501813,20
D10A14_12_C3_A,13,Control,D10_A14,Acclim,0.060599726,10
D10A13_12_P2_A,13,Predator,D10_A13,Acclim,0.069428667,70
LD33_12_C3_A,13,Control,LD33,Acclim,0.061904151,20
D1045_12_P2,13,Predator,D10_45,Acute,0.073540442,40
Cyril_12_C1,13,Control,Cyril,Acute,0.066955426,0
Cyril_12_C2,13,Control,Cyril,Acute,0.068671813,0
Cyril_12_P1,13,Predator,Cyril,Acute,0.067050809,40
Cyril_12_P3,13,Predator,Cyril,Acute,0.076243534,40
LD33_12_C1_A,13,Control,LD33,Acclim,0.058222623,20
LD33_12_C2_A,13,Control,LD33,Acclim,0.059153546,10
D86A_12_P2_A,13,Predator,D86_A,Acclim,0.063263186,0
D86A_12_P3_A,13,Predator,D86_A,Acclim,0.062274109,10
D10A14_12_P1_A,13,Predator,D10_A14,Acclim,0.061033188,90
D10A14_12_P2_A,13,Predator,D10_A14,Acclim,0.062154507,60
D10A14_12_P3_A,13,Predator,D10_A14,Acclim,0.063921857,50
D10A13_20_C2,20,Control,D10_A13,Acute,0.066216785,60
D87A_12_C2,13,Control,D87_A,Acute,0.05891421,0
D87A_12_P3,13,Predator,D87_A,Acute,0.049339552,30
D86A_12_C2_A,13,Control,D86_A,Acclim,0.056877433,10
D86A_12_C3_A,13,Control,D86_A,Acclim,0.053044832,10
D87A_12_P1,13,Predator,D87_A,Acute,0.042484606,30
C14_12_P3,13,Predator,C14,Acute,0.067077481,90
D10A13_12_C2,13,Control,D10_A13,Acute,0.070552922,10
D1045_12_C1,13,Control,D10_45,Acute,0.058343885,10
D87A_12_P2,13,Predator,D87_A,Acute,0.035299732,40
C14_12_C2_A,13,Control,C14,Acclim,0.046929777,30
C14_12_C3_A,13,Control,C14,Acclim,0.047566916,40
AD10_1_16_P2,16,Predator,AD10_1,Acute,NA,50
AD10_1_24_C3,24,Control,AD10_1,Acute,NA,10
AD10_1_24_P1_A,24,Predator,AD10_1,Acclim,NA,0
AD10_1_28_C1,28,Control,AD10_1,Acute,NA,10
AD10_1_28_C3,28,Control,AD10_1,Acute,NA,10
AD10_1_28_P1_A,28,Predator,AD10_1,Acclim,NA,10
AD101_16_C1_A,16,Control,AD10_1,Acclim,NA,20
AD101_16_P3_A,16,Predator,AD10_1,Acclim,NA,40
AD101_20_C2_A,20,Control,AD10_1,Acclim,NA,10
AD101_28_P1_A,28,Predator,AD10_1,Acclim,NA,10
C14_16_C1_A,16,Control,C14,Acclim,NA,20
C14_16_C2_A,16,Control,C14,Acclim,NA,30
C14_16_P1_A,16,Predator,C14,Acclim,NA,100
C14_20_C1,20,Control,C14,Acute,NA,20
C14_20_C3,20,Control,C14,Acute,NA,20
C14_20_P2,20,Predator,C14,Acute,NA,70
C14_20_P3_A,20,Predator,C14,Acclim,NA,70
C14_24_C3_A,24,Control,C14,Acclim,NA,40
C14_24_P2_A,24,Predator,C14,Acclim,NA,60
C14_28_C1_A2,28,Control,C14,Acclim,NA,20
C14_28_C2_A2,28,Control,C14,Acclim,NA,10
C14_28_C3,28,Control,C14,Acute,NA,20
C14_28_C3_A,28,Control,C14,Acclim,NA,0
C14_28_C3_A2,28,Control,C14,Acclim,NA,10
C14_28_P1_A2,28,Predator,C14,Acclim,NA,30
C14_28_P3,28,Predator,C14,Acute,NA,NA
Cyril_12_C3,13,Control,Cyril,Acute,NA,0
Cyril_12_P2,13,Predator,Cyril,Acute,NA,40
Cyril_28_C3,28,Control,Cyril,Acute,NA,0
Cyril_28_P1_A,28,Predator,Cyril,Acclim,NA,0
Cyril_28_P2_A,28,Predator,Cyril,Acclim,NA,0
Cyril_28_P3_A,28,Predator,Cyril,Acclim,NA,0
D10_A14_20_P1,20,Predator,D10_A14,Acute,NA,40
D10_A14_20_P2,20,Predator,D10_A14,Acute,NA,40
D10_A14_20_P3,20,Predator,D10_A14,Acute,NA,40
D10_A14_24_P1,24,Predator,D10_A14,Acute,NA,NA
D10_A14_28_P1_A,28,Predator,D10_A14,Acclim,NA,0
D1045_12_P3_A,13,Predator,D10_45,Acclim,NA,10
D1045_16_P1,16,Predator,D10_45,Acute,NA,40
D1045_20_C3,20,Control,D10_45,Acute,NA,10
D1045_20_P3,20,Predator,D10_45,Acute,NA,30
D1045_24_C3_A,24,Control,D10_45,Acclim,NA,10
D1045_24_P1_A,24,Predator,D10_45,Acclim,NA,NA
D1045_28_C1,28,Control,D10_45,Acute,NA,10
D1045_28_C1_A,28,Control,D10_45,Acclim,NA,0
D1045_28_C1_A2,28,Control,D10_45,Acclim,NA,0
D1045_28_C1_A2,28,Predator,D10_45,Acclim,NA,10
D1045_28_C3,28,Control,D10_45,Acute,NA,10
D1045_28_P1,28,Predator,D10_45,Acute,NA,10
D1045_28_P2,28,Predator,D10_45,Acute,NA,10
D1045_28_P2_A2,28,Predator,D10_45,Acclim,NA,10
D1045_28_P3_A2,28,Predator,D10_45,Acclim,NA,10
D1081_12_P2,13,Predator,D10_81,Acute,NA,20
D1081_16_P1,16,Control,D10_81,Acute,NA,10
D1081_16_P1_A,16,Predator,D10_81,Acute,NA,0
D1081_16_P2_A,16,Predator,D10_81,Acute,NA,0
D1081_20_P3,20,Predator,D10_81,Acute,NA,0
D1081_28_C1,28,Control,D10_81,Acute,NA,10
D1081_28_C2,28,Control,D10_81,Acute,NA,10
D1081_28_C3,28,Control,D10_81,Acute,NA,10
D10A13_16_C2,16,Control,D10_A13,Acute,NA,10
D10A13_16_C2_A,16,Control,D10_A13,Acclim,NA,10
D10A13_20_C3,20,Control,D10_A13,Acute,NA,30
D10A13_24_C1,24,Control,D10_A13,Acute,NA,0
D10A13_24_C2,24,Control,D10_A13,Acute,NA,70
D10A13_24_C3,24,Control,D10_A13,Acute,NA,70
D10A13_24_C3_A,24,Control,D10_A13,Acclim,NA,0
D10A13_24_P1,24,Predator,D10_A14,Acute,NA,0
D10A13_28_C1,28,Control,D10_A13,Acute,NA,0
D10A13_28_C2,28,Control,D10_A13,Acute,NA,0
D10A13_28_C3,28,Control,D10_A13,Acute,NA,0
D10A13_28_P1,28,Predator,D10_A13,Acute,NA,20
D10A13_28_P2,28,Predator,D10_A13,Acute,NA,0
D10A13_28_P3,28,Predator,D10_A13,Acute,NA,10
D10A14_16_P1,16,Predator,D10_A14,Acute,NA,40
D10A14_20_P3_A,20,Predator,D10_A14,Acclim,NA,80
D10A14_24_C3_A,24,Control,D10_A14,Acclim,NA,10
D10A14_28_C1,28,Control,D10_A14,Acute,NA,10
D10A14_28_C3,28,Control,D10_A14,Acute,NA,10
D10A14_28_P3,28,Predator,D10_A14,Acute,NA,0
D86A_12_P1_A,13,Predator,D86_A,Acclim,NA,10
D86A_16_P1_A,16,Predator,D86_A,Acclim,NA,10
D86A_24_C1,24,Control,D86_A,Acute,NA,20
D86A_24_C1_A,24,Control,D86_A,Acclim,NA,30
D86A_24_C2,24,Control,D86_A,Acute,NA,0
D86A_24_P1_A,24,Predator,D86_A,Acclim,NA,0
D86A_24_P2,24,Predator,D86_A,Acute,NA,0
D86A_28_C1,28,Control,D86_A,Acute,NA,10
D86A_28_C2_A,28,Control,D86_A,Acclim,NA,40
D87A_12_C1_A,13,Control,D87_A,Acclim,NA,10
D87A_12_C2_A,13,Control,D87_A,Acclim,NA,10
D87A_12_C3_A,13,Control,D87_A,Acclim,NA,10
D87A_16_P2,16,Predator,D87_A,Acute,NA,40
D87A_16_P3_A,16,Predator,D87_A,Acclim,NA,10
D87A_28_P1_A,28,Predator,D87_A,Acclim,NA,10
D87A_28_P2_A,28,Predator,D87_A,Acclim,NA,10
D87A_28_P3,28,Predator,D87_A,Acute,NA,NA
LD33_12_P1,13,Predator,LD33,Acclim,NA,100
LD33_12_P2,13,Predator,LD33,Acclim,NA,100
LD33_12_P3,13,Predator,LD33,Acclim,NA,100
LD33_16_C3_A,16,Predator,LD33,Acclim,NA,0
LD33_16_P3_A,16,Predator,LD33,Acclim,NA,90
LD33_28_C1,28,Control,LD33,Acute,NA,10
LD33_28_P3,28,Predator,LD33,Acute,NA,10
